Mooring,Lat,Long,UTMx,UTMy,idx,idy,ix,iy
TB1,39.154467,-119.999167,759305.729525348,4338207.9468931,143,245,14300,24500
TB2,39.1096167,-120.007433,758755.580794657,4333205.73956846,137,195,13700,19500
TB3,39.1108333,-120.073283,753056.401718442,4333155.05581588,80,194,8000,19400
TB4,39.1534667,-120.07115,753088.054454901,4337893.45798187,80,241,8000,24100
A,39.090603,-120.1598311,745642.065618154,4330671.65724821,6,169,600,16900
B,39.09093,-120.158367,745767.578888437,4330711.91748827,7,170,700,17000
C,39.091183,-120.15705,745880.623714642,4330743.56725909,8,170,800,17000
D,39.090618,-120.154719,746084.226554325,4330687.16817537,10,169,1000,16900
E,39.0906,-120.1457,746864.462737977,4330709.65858855,18,170,1800,17000
F,39.09397,-120.132372,748005.565798081,4331120.06431537,30,174,3000,17400
ASN,39.090988,-120.160081,745619.111725107,4330713.71642666,6,170,600,17000
ASS,39.090012,-120.159629,745661.600212823,4330606.60256562,6,169,600,16900
CLE,39.094027,-119.953829,763449.483713684,4331629.447664,184,179,18400,17900
CLS,38.9604833,-119.97405,762193.764771859,4316747.0703373,171,30,17100,3000
GBTC,39.1,-119.9667,762313.957045095,4332255.19751375,165,185,17300,18500
TC,39.170618,-120.137083,747329.539014465,4339615.28783296,23,259,2300,25900
TV,39.236282,-120.064811,753338.041830236,4347104.03646466,83,333,8300,33400
DP,39.184475,-120.093022,751087.319208861,4341274.64853904,61,276,6000,27500
SH,39.200852,-119.931238,765002.305957257,4343553.53638668,200,298,20000,29800
GB,39.088292,-119.941717,764518.647804039,4331028.06038553,195,173,19500,17300
TB,38.950162,-119.967936,762761.79204508,4315619.00467723,177,19,17700,1900
CR,38.9405,-120.039279,756612.824079996,4314343.02149689,116,6,11600,600
RB,39.006676,-120.109496,750292.563976769,4321493.0597402,52,77,5200,7700
MK,39.021608,-120.117562,749541.459019876,4323128.35327222,45,94,4500,9400
HW,39.090139,-120.160896,745551.558953218,4330617.27170045,5,169,500,16900
